Frame,Leader_X,Leader_Y,Leader_Dir_X,Leader_Dir_Y,Follower1_X,Follower1_Y,Follower1_target_position_x,Follower1_target_position_y
0,0.0,0.0,1.0,0.0,-3.0,3.0,-3,3
0,0.0,0.0,0.8090169943749475,0.5877852522924731,-3.0,3.0,-4.190407,0.66369534
1,0.0,0.0,0.30901699437494745,0.9510565162951536,-3.0,3.0,-3.7802205,-1.9261187
2,0.0,0.0,-0.3090169943749474,0.9510565162951536,-3.0,3.0,-1.9261184,-3.7802205
3,0.0,0.0,-0.8090169943749475,0.5877852522924731,-2.8865023,2.7772484,0.66369534,-4.190407
4,0.0,0.0,-1.0,0.0,-2.7080774,2.6021352,3.0000002,-2.9999998
5,0.0,0.0,-1.0,0.0,-2.5296526,2.427022,3.0000002,-2.9999998
6,0.0,0.0,-1.0,0.0,-2.3512278,2.2519088,3.0000002,-2.9999998
7,0.0,0.0,-1.0,0.0,-2.172803,2.0767956,3.0000002,-2.9999998
8,0.0,0.0,-1.0,0.0,-1.9943782,1.9016824,3.0000002,-2.9999998
9,0.0,0.0,-1.0,0.0,-1.8159535,1.7265692,3.0000002,-2.9999998
10,0.0,0.0,-1.0,0.0,-1.6375288,1.551456,3.0000002,-2.9999998
11,0.0,0.0,-1.0,0.0,-1.4591041,1.3763428,3.0000002,-2.9999998
12,0.0,0.0,-1.0,0.0,-1.2806793,1.2012296,3.0000002,-2.9999998
13,0.0,0.0,-1.0,0.0,-1.1022546,1.0261165,3.0000002,-2.9999998
14,0.0,0.0,-1.0,0.0,-0.9238299,0.85100335,3.0000002,-2.9999998
15,0.0,0.0,-1.0,0.0,-0.7454052,0.6758902,3.0000002,-2.9999998
16,0.0,0.0,-1.0,0.0,-0.5669805,0.50077707,3.0000002,-2.9999998
17,0.0,0.0,-1.0,0.0,-0.38855574,0.32566392,3.0000002,-2.9999998
18,0.0,0.0,-1.0,0.0,-0.21013099,0.1505508,3.0000002,-2.9999998
19,0.0,0.0,-1.0,0.0,-0.03170626,-0.024562344,3.0000002,-2.9999998
20,0.0,0.0,-1.0,0.0,0.14671849,-0.19967549,3.0000002,-2.9999998
21,0.0,0.0,-1.0,0.0,0.32514322,-0.37478864,3.0000002,-2.9999998
22,0.0,0.0,-1.0,0.0,0.50356793,-0.5499018,3.0000002,-2.9999998
23,0.0,0.0,-1.0,0.0,0.68199265,-0.7250149,3.0000002,-2.9999998
24,0.0,0.0,-1.0,0.0,0.86041737,-0.90012807,3.0000002,-2.9999998
25,0.0,0.0,-1.0,0.0,1.0388421,-1.0752412,3.0000002,-2.9999998
26,0.0,0.0,-1.0,0.0,1.2172668,-1.2503543,3.0000002,-2.9999998
27,0.0,0.0,-1.0,0.0,1.3956915,-1.4254674,3.0000002,-2.9999998
28,0.0,0.0,-1.0,0.0,1.5741162,-1.6005806,3.0000002,-2.9999998
29,0.0,0.0,-1.0,0.0,1.752541,-1.7756937,3.0000002,-2.9999998
30,0.0,0.0,-1.0,0.0,1.9309657,-1.9508067,3.0000002,-2.9999998
31,0.0,0.0,-1.0,0.0,2.1093905,-2.1259198,3.0000002,-2.9999998
32,0.0,0.0,-1.0,0.0,2.2878153,-2.301033,3.0000002,-2.9999998
33,0.0,0.0,-1.0,0.0,2.4662402,-2.4761462,3.0000002,-2.9999998
34,0.0,0.0,-1.0,0.0,2.6446648,-2.6512594,3.0000002,-2.9999998
35,0.0,0.0,-1.0,0.0,2.8230896,-2.8263726,3.0000002,-2.9999998
36,0.0,0.0,-1.0,0.0,3.0015144,-3.0014858,3.0000002,-2.9999998
37,0.0,0.0,-1.0,0.0,2.823088,-2.8263745,3.0000002,-2.9999998
38,0.0,0.0,-1.0,0.0,3.0015144,-3.0014858,3.0000002,-2.9999998
39,0.0,0.0,-1.0,0.0,2.823088,-2.8263745,3.0000002,-2.9999998
40,0.0,0.0,-1.0,0.0,3.0015144,-3.0014858,3.0000002,-2.9999998
41,0.0,0.0,-1.0,0.0,2.823088,-2.8263745,3.0000002,-2.9999998
42,0.0,0.0,-1.0,0.0,3.0015144,-3.0014858,3.0000002,-2.9999998
43,0.0,0.0,-1.0,0.0,2.823088,-2.8263745,3.0000002,-2.9999998
44,0.0,0.0,-1.0,0.0,3.0015144,-3.0014858,3.0000002,-2.9999998
