Frame,Leader_X,Leader_Y,Leader_Dir_X,Leader_Dir_Y,Leader_speed,Follower1_X,Follower1_Y,Follower1_target_x,Follower1_target_y,Follower1_speed
0,-0.47414893,-0.27709794,-0.8633735995432631,-0.5045651866822651,0.43258506909837935,-1.7399385,2.2478108,4.368355,-1.5472789,2.215846
0,-0.94829786,-0.5541959,-0.8633735995432631,-0.5045651866822651,0.43258506909837935,-1.4291749,1.8241036,3.8942056,-1.8243768,0.5254539
1,-1.4224468,-0.8312938,-0.8633735995432631,-0.5045651866822651,0.43258506909837935,-1.0797129,1.3826611,3.4200568,-2.1014748,0.56302327
2,-1.8965958,-1.1083918,-0.8633735995432631,-0.5045651866822651,0.43258506909837935,-0.7159356,0.945457,2.9459076,-2.3785727,0.5687542
3,-2.3707447,-1.3854897,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-0.3575278,0.4935835,2.4717588,-2.6556706,0.5767545
4,-2.8448937,-1.6625876,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-0.023367643,-0.09797245,1.9976099,-2.9327686,0.6794126
5,-3.3190427,-1.9396856,-0.8633735995432631,-0.504565186682265,0.43258506909837935,0.21350192,-0.9263638,1.5234609,-3.2098665,0.8615912
6,-3.7931917,-2.2167835,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-0.04921879,-1.8794944,1.0493119,-3.4869645,0.98867595
7,-4.2673407,-2.4938815,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-1.0025667,-2.6844854,0.5751629,-3.7640624,1.2477511
8,-4.7414894,-2.7709794,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-1.9816902,-3.106296,0.10101414,-4.0411606,1.0661176
9,-5.215638,-3.0480773,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-2.5960252,-3.1703627,-0.3731346,-4.3182583,0.61766666
10,-5.689787,-3.3251753,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-2.96755,-3.2120535,-0.84728336,-4.595356,0.37385666
11,-6.1639357,-3.6022732,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-3.2864232,-3.3701942,-1.3214321,-4.872454,0.35593337
12,-6.6380844,-3.8793712,-0.8633735995432631,-0.504565186682265,0.43258506909837935,-3.6449835,-3.6494925,-1.7955809,-5.1495523,0.45450306
13,-7.112233,-4.1564693,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-4.0837092,-3.998619,-2.2697296,-5.42665,0.56068677
14,-7.586382,-4.4335675,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-4.58613,-4.355378,-2.7438784,-5.7037487,0.6162011
15,-8.060531,-4.7106657,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-5.1065903,-4.6823077,-3.218027,-5.9808464,0.6146232
16,-8.534679,-4.987764,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-5.6115856,-4.9767656,-3.6921759,-6.257945,0.58457315
17,-9.008828,-5.264862,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-6.094045,-5.2556415,-4.1663246,-6.535043,0.5572602
18,-9.482977,-5.5419602,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-6.563138,-5.535162,-4.6404734,-6.8121414,0.5460584
19,-9.957126,-5.8190584,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-7.029775,-5.8220744,-5.114622,-7.089239,0.5477855
20,-10.431274,-6.0961566,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-7.499488,-6.115262,-5.588771,-7.366338,0.55370486
21,-10.905423,-6.373255,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-7.972395,-6.4107766,-6.0629196,-7.6434355,0.5576468
22,-11.379572,-6.650353,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-8.446259,-6.705569,-6.5370684,-7.920534,0.55807626
23,-11.853721,-6.927451,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-8.919157,-6.9985437,-7.011217,-8.197632,0.55629784
24,-12.327869,-7.2045493,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-9.390441,-7.28988,-7.485366,-8.4747305,0.5540625
25,-12.802018,-7.4816475,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-9.860398,-7.5800524,-7.9595146,-8.751828,0.5523224
26,-13.276167,-7.7587457,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-10.329615,-7.869314,-8.433663,-9.028927,0.55121356
27,-13.750316,-8.035844,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-10.7985525,-8.157647,-8.907812,-9.306025,0.5504894
28,-14.224464,-8.312942,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-11.267462,-8.444914,-9.381961,-9.583122,0.5499073
29,-14.698613,-8.590039,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-11.736443,-8.730997,-9.85611,-9.86022,0.5493511
30,-15.172762,-8.867137,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-12.205546,-9.015851,-10.330258,-10.137318,0.54881704
31,-15.646911,-9.144235,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-12.674819,-9.29949,-10.804407,-10.414415,0.54833186
32,-16.12106,-9.421332,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-13.144308,-9.581961,-11.278556,-10.691513,0.54791397
33,-16.59521,-9.69843,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-13.614058,-9.863319,-11.752706,-10.968611,0.54756486
34,-17.069359,-9.975528,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-14.084097,-10.14362,-12.226855,-11.245708,0.54727066
35,-17.543509,-10.252625,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-14.554435,-10.422913,-12.701005,-11.522806,0.54701215
36,-18.017658,-10.529723,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-15.025063,-10.701251,-13.175155,-11.799904,0.5467749
37,-18.491808,-10.806821,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-15.495966,-10.97869,-13.649304,-12.077002,0.5465551
38,-18.965958,-11.083919,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-15.967119,-11.25529,-14.123454,-12.354099,0.54634506
39,-19.440107,-11.361016,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-16.438498,-11.531114,-14.597604,-12.631197,0.5461467
40,-19.914257,-11.638114,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-16.910076,-11.806224,-15.0717535,-12.908295,0.5459598
41,-20.388407,-11.915212,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-17.381828,-12.080683,-15.545903,-13.185392,0.5457818
42,-20.862556,-12.192309,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-17.853731,-12.354554,-16.020054,-13.46249,0.5456169
43,-21.336706,-12.469407,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-18.325764,-12.627896,-16.494202,-13.739588,0.5454637
44,-21.810856,-12.746505,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-18.797903,-12.900764,-16.968353,-14.0166855,0.54531884
45,-22.285006,-13.0236025,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-19.270136,-13.173214,-17.442501,-14.293783,0.5451904
46,-22.759155,-13.3007,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-19.742445,-13.44529,-17.916653,-14.570881,0.54506975
47,-23.233305,-13.577798,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-20.214815,-13.717036,-18.3908,-14.847979,0.54495853
48,-23.707455,-13.854896,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-20.687237,-13.988494,-18.864952,-15.125076,0.5448591
49,-24.181604,-14.131993,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-21.159702,-14.259697,-19.3391,-15.402174,0.54477036
50,-24.655754,-14.409091,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-21.632195,-14.530676,-19.813251,-15.679272,0.544682
51,-25.129904,-14.686189,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-22.104713,-14.801462,-20.2874,-15.956369,0.5446093
52,-25.604053,-14.963286,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-22.57725,-15.072077,-20.76155,-16.233467,0.5445389
53,-26.078203,-15.240384,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-23.049797,-15.342544,-21.235699,-16.510565,0.54447544
54,-26.552353,-15.517482,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-23.52235,-15.612881,-21.70985,-16.787663,0.54441595
55,-27.026503,-15.7945795,-0.863373599543263,-0.5045651866822657,0.4325850690983794,-23.994907,-15.883106,-22.183998,-17.06476,0.54436386
56,-27.500652,-16.071678,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-24.467463,-16.153234,-22.65815,-17.34186,0.5443139
57,-27.974802,-16.348776,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-24.940016,-16.423279,-23.132298,-17.618958,0.54427063
58,-28.448952,-16.625874,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-25.412561,-16.69325,-23.60645,-17.896055,0.5442281
59,-28.923101,-16.902971,-0.8633735995432643,-0.5045651866822632,0.43258506909837974,-25.885103,-16.963161,-24.080597,-18.173153,0.54419446
